channel,BQS,BQ,LQBS,Width,ShapeSim,SharpRet,MinPos,Symmetry,Retention,kill_clean,kill_50
56,0.453552,0.571654,0.748499,0.041118,0.963115,0.890594,1.0,0.924988,0.793403,31.4,65.9
57,0.416972,0.656969,0.85213,0.071486,0.893264,0.823112,0.994204,0.868256,0.634691,41.0,8.3
58,0.632243,0.692935,0.900801,0.069336,0.992361,0.965875,0.994204,0.95747,0.912413,2.1,1.4
59,0.488328,0.608751,0.794557,0.05133,0.97245,0.915698,0.994204,0.906102,0.802181,13.1,55.7
60,0.525059,0.679232,0.875902,0.089223,0.986575,0.922134,1.0,0.849701,0.773019,23.5,15.3
61,0.578846,0.609814,0.799469,0.040849,0.992301,1.0,1.0,0.956581,0.949217,48.1,69.4
62,0.518707,0.585252,0.765287,0.045149,0.994096,0.956413,1.0,0.932192,0.886297,36.5,70.1
63,0.43254,0.52468,0.687211,0.037087,0.975702,0.929496,1.0,0.909008,0.824389,3.2,8.5
64,0.469056,0.632229,0.821921,0.063155,0.93671,0.930194,0.988408,0.86146,0.741908,8.1,8.4
65,0.400541,0.487438,0.636929,0.038968,0.979329,0.922268,1.0,0.90979,0.821726,18.9,12.9
66,0.64172,0.698292,0.906959,0.072292,0.983741,0.978234,1.0,0.954959,0.918984,0.1,0.1
67,0.526456,0.645279,0.83735,0.069067,0.99307,0.963092,1.0,0.853036,0.815859,8.8,8.5
