Trial	N_Channels	Channels	ATE_Mean_cm	Status
264	8	d3,d8,d35,d37,d47,d51,d57,d60	25.7194	OK
265	6	d7,d22,d26,d42,d55,d63	28.1072	OK
266	6	d3,d18,d46,d54,d55,d58	38.0762	OK
267	6	d6,d13,d22,d32,d36,d39	24.6878	OK
268	6	d6,d14,d19,d30,d42,d54	24.4327	OK
269	4	d14,d35,d44,d47	31.8869	OK
270	4	d3,d28,d34,d54	43.8751	OK
271	4	d3,d23,d34,d39	33.5745	OK
272	4	d0,d23,d43,d44	24.8773	OK
273	8	d4,d9,d18,d25,d36,d40,d42,d47	19.5315	OK
274	8	d3,d5,d13,d24,d26,d29,d33,d47	27.9392	OK
275	8	d10,d19,d20,d23,d36,d43,d46,d49	34.2322	OK
276	8	d3,d9,d10,d39,d48,d56,d61,d63	25.4185	OK
277	6	d10,d17,d27,d28,d31,d42	25.4647	OK
278	6	d13,d17,d26,d32,d48,d56	26.9919	OK
279	6	d7,d14,d18,d22,d27,d43	37.7398	OK
280	6	d2,d14,d19,d33,d42,d62	29.6812	OK
281	4	d0,d7,d26,d50	29.3799	OK
282	4	d17,d27,d32,d38	33.0663	OK
283	4	d0,d15,d37,d41	26.1064	OK
284	4	d16,d22,d55,d63	32.5215	OK
285	8	d14,d32,d34,d35,d42,d45,d48,d53	24.6624	OK
286	8	d1,d2,d4,d25,d27,d45,d47,d55	23.6303	OK
287	8	d4,d20,d27,d36,d55,d58,d62,d63	21.8316	OK
288	8	d1,d7,d18,d25,d26,d40,d45,d51	20.9117	OK
289	6	d10,d29,d39,d41,d51,d60	21.6723	OK
290	6	d5,d6,d15,d27,d46,d54	27.3841	OK
291	6	d5,d25,d33,d37,d55,d61	22.2685	OK
292	6	d14,d21,d39,d47,d49,d61	24.3552	OK
293	4	d9,d14,d21,d24	26.6459	OK
294	4	d13,d18,d30,d44	20.3791	OK
295	4	d18,d22,d25,d32	32.9301	OK
296	4	d9,d19,d22,d63	27.0462	OK
297	8	d28,d36,d37,d43,d48,d56,d59,d62	37.1928	OK
298	8	d4,d9,d20,d28,d30,d40,d41,d55	23.2477	OK
299	8	d3,d17,d19,d22,d37,d40,d50,d56	28.4546	OK
300	8	d2,d3,d9,d19,d23,d28,d29,d53	36.8253	OK
301	6	d4,d5,d36,d41,d54,d55	22.8862	OK
302	6	d29,d35,d37,d47,d49,d50	24.4333	OK
303	6	d5,d28,d36,d41,d51,d58	25.8159	OK
304	6	d9,d20,d24,d30,d32,d38	30.4611	OK
305	4	d7,d13,d43,d57	30.4273	OK
306	4	d5,d10,d22,d31	38.5282	OK
307	4	d20,d46,d47,d56	40.8830	OK
308	4	d36,d43,d49,d52	26.1613	OK
309	8	d4,d6,d21,d40,d41,d50,d59,d63	21.3716	OK
310	8	d16,d18,d38,d42,d46,d49,d54,d55	24.5236	OK
311	8	d5,d9,d19,d21,d22,d37,d42,d63	22.4742	OK
312	8	d5,d8,d19,d24,d35,d38,d45,d50	24.7879	OK
313	6	d8,d42,d44,d52,d53,d63	23.9075	OK
314	6	d11,d23,d27,d32,d41,d42	34.7962	OK
315	6	d2,d11,d13,d19,d21,d23	30.0262	OK
316	6	d4,d8,d9,d12,d14,d62	21.3699	OK
317	4	d4,d12,d37,d43	21.9342	OK
318	4	d16,d19,d20,d48	31.4925	OK
319	4	d5,d21,d23,d56	21.8248	OK
320	4	d30,d46,d52,d56	26.3622	OK
321	8	d14,d15,d28,d34,d36,d47,d48,d50	30.9621	OK
322	8	d12,d30,d39,d50,d51,d53,d57,d61	24.8921	OK
323	8	d18,d28,d29,d36,d43,d47,d49,d60	20.7738	OK
324	8	d10,d12,d26,d32,d33,d48,d51,d52	30.0481	OK
325	6	d3,d16,d17,d30,d41,d55	38.1974	OK
326	6	d6,d35,d45,d47,d54,d59	26.3189	OK
327	6	d5,d10,d15,d17,d18,d48	27.6181	OK
328	6	d9,d27,d32,d53,d57,d63	27.7903	OK
329	4	d11,d28,d44,d57	35.4722	OK
330	4	d3,d6,d50,d53	30.7322	OK
331	4	d10,d30,d47,d49	36.1978	OK
332	4	d3,d28,d40,d47	35.1812	OK
333	8	d8,d9,d12,d21,d41,d45,d50,d53	20.3465	OK
334	8	d4,d8,d18,d30,d44,d53,d58,d60	19.6539	OK
335	8	d0,d1,d5,d16,d28,d39,d57,d60	26.6781	OK
336	8	d9,d27,d33,d35,d38,d46,d53,d63	30.0918	OK
337	6	d7,d14,d15,d18,d19,d49	34.0303	OK
338	6	d6,d15,d26,d39,d40,d50	19.0462	OK
339	6	d4,d7,d31,d53,d57,d58	21.7205	OK
340	6	d2,d15,d32,d36,d40,d45	29.8196	OK
341	4	d0,d18,d37,d54	-	TIMEOUT
342	4	d23,d30,d45,d53	19.1543	OK
343	4	d2,d8,d10,d46	33.5404	OK
344	4	d5,d47,d49,d60	21.2380	OK
345	8	d1,d4,d15,d22,d32,d47,d50,d60	21.4474	OK
346	8	d2,d8,d13,d21,d37,d47,d48,d49	20.0336	OK
347	8	d11,d21,d34,d41,d45,d49,d52,d53	27.2434	OK
348	8	d8,d11,d30,d40,d44,d51,d59,d62	24.6158	OK
349	6	d2,d8,d29,d45,d49,d60	21.6849	OK
350	6	d2,d12,d37,d50,d56,d62	22.6891	OK
351	6	d5,d19,d20,d25,d32,d59	33.4841	OK
352	6	d2,d12,d16,d41,d48,d60	31.6406	OK
353	4	d6,d36,d42,d45	18.0202	OK
354	4	d15,d34,d47,d55	24.6040	OK
355	4	d43,d49,d51,d56	21.0732	OK
356	4	d23,d34,d47,d63	31.7087	OK
357	8	d5,d10,d11,d27,d38,d46,d52,d61	28.9647	OK
358	8	d5,d6,d18,d19,d20,d37,d42,d62	29.1831	OK
359	8	d10,d22,d27,d28,d38,d44,d45,d57	35.1283	OK
360	8	d2,d22,d27,d39,d46,d55,d57,d58	31.3412	OK
361	6	d3,d4,d35,d40,d50,d60	21.1974	OK
362	6	d23,d32,d43,d47,d51,d63	25.3095	OK
363	6	d1,d9,d20,d38,d54,d60	24.3128	OK
364	6	d2,d4,d8,d15,d49,d56	18.8490	OK
365	4	d4,d19,d46,d49	23.4929	OK
366	4	d9,d47,d56,d57	17.0480	OK
367	4	d17,d40,d46,d50	23.0354	OK
368	4	d3,d14,d31,d35	59.1935	OK
369	8	d7,d16,d23,d24,d31,d33,d35,d58	23.4993	OK
370	8	d13,d18,d28,d31,d33,d39,d44,d45	25.3318	OK
371	8	d4,d7,d8,d11,d25,d28,d45,d54	33.5858	OK
372	8	d5,d20,d22,d42,d43,d51,d54,d56	24.9821	OK
373	6	d8,d18,d19,d34,d35,d57	26.2477	OK
374	6	d20,d40,d44,d45,d59,d62	23.4781	OK
375	6	d7,d14,d22,d23,d32,d50	33.0881	OK
376	6	d8,d15,d25,d31,d50,d62	21.3790	OK
377	4	d3,d46,d47,d59	39.2317	OK
378	4	d8,d11,d16,d39	32.1113	OK
379	4	d9,d50,d52,d61	22.0523	OK
380	4	d9,d16,d40,d57	25.8757	OK
381	8	d8,d22,d33,d43,d49,d53,d56,d59	25.9689	OK
382	8	d3,d8,d23,d27,d32,d49,d55,d61	22.8374	OK
383	8	d9,d10,d15,d19,d20,d33,d45,d59	28.8613	OK
384	8	d18,d22,d28,d33,d54,d57,d60,d61	27.9789	OK
385	6	d10,d12,d16,d17,d35,d40	27.7554	OK
386	6	d5,d16,d19,d34,d39,d40	27.5844	OK
387	6	d9,d10,d21,d37,d60,d62	28.1953	OK
388	6	d2,d36,d43,d52,d53,d59	28.9539	OK
389	4	d3,d5,d10,d33	37.0876	OK
390	4	d3,d26,d53,d63	27.6782	OK
391	4	d31,d37,d38,d61	22.0728	OK
392	4	d9,d38,d51,d58	23.7564	OK
393	8	d7,d10,d13,d21,d26,d28,d29,d30	24.9732	OK
394	8	d18,d20,d22,d45,d46,d55,d61,d62	23.2242	OK
395	8	d6,d8,d20,d23,d32,d35,d48,d51	24.8302	OK
396	8	d6,d7,d9,d15,d17,d28,d29,d30	22.1832	OK
397	6	d6,d18,d24,d39,d55,d60	19.4163	OK
398	6	d10,d15,d53,d55,d57,d61	26.0178	OK
399	6	d12,d20,d36,d41,d46,d59	29.6120	OK
400	6	d20,d29,d31,d32,d56,d62	29.5379	OK
401	4	d2,d11,d39,d63	39.2917	OK
402	4	d27,d30,d50,d58	29.5582	OK
403	4	d6,d36,d45,d63	25.0170	OK
404	4	d1,d13,d36,d60	20.7005	OK
