channel,condition,local_sharpness,global_sharpness,x_local,y_local
85,+50%,0.004836,0.011418,0.006400,0.003272
86,Clean,0.003167,0.013773,0.002919,0.003414
86,+30%,0.006924,0.010427,0.009332,0.004516
86,+50%,0.005711,0.011079,0.008890,0.002533
87,Clean,0.003101,0.014628,0.002094,0.004109
87,+30%,0.006203,0.010143,0.002908,0.009498
87,+50%,0.006483,0.010547,0.001635,0.011331
88,Clean,0.004059,0.016857,0.002896,0.005221
88,+30%,0.008394,0.010501,0.008833,0.007955
88,+50%,0.009880,0.010490,0.010063,0.009697
89,Clean,0.003207,0.014121,0.001983,0.004431
89,+30%,0.004462,0.011753,0.005333,0.003592
89,+50%,0.007794,0.009618,0.007194,0.008394
90,Clean,0.003848,0.017187,0.002092,0.005605
90,+30%,0.005278,0.012359,0.001490,0.009065
90,+50%,0.003840,0.016642,0.002000,0.005681
91,Clean,0.003650,0.016223,0.004069,0.003232
91,+30%,0.007665,0.011436,0.011486,0.003844
91,+50%,0.009565,0.009317,0.012526,0.006604
92,Clean,0.003425,0.014961,0.002539,0.004312
92,+30%,0.003940,0.011704,0.002417,0.005463
92,+50%,0.003986,0.011978,0.004862,0.003111
93,Clean,0.003700,0.016946,0.003284,0.004115
93,+30%,0.007852,0.011686,0.004974,0.010730
93,+50%,0.008477,0.009469,0.006802,0.010151
94,Clean,0.003595,0.016353,0.002432,0.004759
94,+30%,0.006009,0.011906,0.002025,0.009993
94,+50%,0.007016,0.011306,0.001738,0.012293
95,Clean,0.003344,0.015763,0.003265,0.003423
95,+30%,0.007234,0.012003,0.007582,0.006885
95,+50%,0.008205,0.008059,0.002313,0.014096
96,Clean,0.003624,0.017464,0.002809,0.004439
96,+30%,0.005244,0.013765,0.006621,0.003867
96,+50%,0.004728,0.012744,0.003885,0.005571
97,Clean,0.003822,0.016550,0.003258,0.004385
97,+30%,0.003792,0.014097,0.002907,0.004678
97,+50%,0.006975,0.009203,0.001168,0.012781
98,Clean,0.003685,0.015848,0.003636,0.003733
98,+30%,0.003440,0.014779,0.003112,0.003769
98,+50%,0.004942,0.012364,0.003196,0.006688
99,Clean,0.003592,0.017018,0.003040,0.004145
99,+30%,0.004381,0.015334,0.005184,0.003579
99,+50%,0.008039,0.009084,0.005284,0.010794
100,Clean,0.004792,0.018525,0.002419,0.007165
100,+30%,0.005170,0.010031,0.003754,0.006586
100,+50%,0.008893,0.009209,0.008347,0.009438
101,Clean,0.003613,0.016267,0.003742,0.003485
101,+30%,0.006432,0.009742,0.005201,0.007662
101,+50%,0.008010,0.008087,0.010692,0.005327
102,Clean,0.003858,0.017601,0.003713,0.004002
102,+30%,0.003551,0.012616,0.002789,0.004313
102,+50%,0.003661,0.016086,0.003516,0.003806
103,Clean,0.003500,0.017285,0.002698,0.004303
103,+30%,0.005634,0.011902,0.005323,0.005945
103,+50%,0.003815,0.015450,0.003527,0.004103
104,Clean,0.003718,0.017257,0.003083,0.004353
104,+30%,0.008126,0.008950,0.003155,0.013097
104,+50%,0.008228,0.008912,0.001375,0.015081
