rank,channels,source_stage,se3_ate_rmse_cm,se3_ate_mean_cm,rotation_ape_rmse_deg,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,translation_jump_flag,rotation_jump_flag,rpe_safety_pass,legacy_keyframe_sim3_mean_cm,legacy_keyframe_sim3_scale,legacy_keyframe_poses,photo_mse_median,photo_mse_nonfinite_count,valid_ratio_min
473,"23,24,56,63",bruteforce,9.798004975017314,8.984469384727376,70.22820763200325,2.2269609931116663,8.668660096686159,1.5434460175444473,5.2307944593389655,True,True,False,6.724145625086318,1.4860186285094723,6,70.635918,0,0.947
474,"5,17,25,52",bruteforce,9.799296563421473,8.675239831116212,80.4798880369174,4.563697012270664,21.458577684229553,2.8337400312723116,14.764999426749188,True,True,False,9.812300562485596,0.9492388385122484,7,8048.594238,0,0.834
475,"8,30,52,63",bruteforce,9.799765878381026,8.398517630642036,111.93386832795255,2.5523224278069017,9.098791035576733,1.810012897247713,7.234120052404605,True,True,False,8.832440994400121,1.6866895095738634,6,101.055695,0,0.914
476,"1,8,30,52",bruteforce,9.800127493066837,8.987312746310831,102.52184964613396,3.0841348363908594,14.088423557464985,2.229389928628002,9.845932323356186,True,True,False,5.780038074740952,1.5029948656985417,5,7066.03125,0,0.867
477,"14,17,23,60",bruteforce,9.805511985603816,9.072231511535572,76.73026076362815,3.2385783984078773,11.362912377214712,1.9452725052609021,7.064608144918275,True,True,False,7.256539053337387,1.5531675109180463,8,46.937416,0,0.925
478,"18,26,30,59",bruteforce,9.806860397301737,8.908222444999184,76.09825506534683,3.408689793011732,14.611039212678586,2.087186891731002,8.685913979763663,True,True,False,7.466169863155551,1.5631792011420744,5,490.272552,0,0.889
479,"1,14,59,60",bruteforce,9.813663781565833,8.59926168979709,83.402555041157,3.067367366366308,11.725871392520887,1.8837393888798541,6.743826076020977,True,True,False,9.068355280160402,1.3596317654762435,7,2216.421631,0,0.842
480,"5,20,26,60",bruteforce,9.814058012562752,9.094013519681562,61.47258334402011,2.723528112776196,9.020796582098967,1.969396057168801,6.290678966781758,True,True,False,7.6612504616360075,1.4840266647477818,7,5321.063477,0,0.966
481,"17,27,30,40",bruteforce,9.814718082356233,8.714785447454439,90.70934728374208,4.104728469940849,19.741917467317446,2.320458034501944,10.058970658481432,True,True,False,10.192888215653063,0.9642545108979051,7,34.449478,0,0.846
482,"8,24,52,63",bruteforce,9.819238609063726,8.816546958632719,140.70439453370744,2.5570756437729787,10.28153452236192,2.2419346787728243,10.780990043951947,True,True,False,6.995601432745305,1.7625743814789787,7,1445.467773,0,0.958
