channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63
31,0.66048992,0.55903280,,0.50398517,,0.83414102,0.79751629,,0.77287394,,0.51889074,0.59166765,0.43592680,,0.96842557,0.89641899,0.27908552,0.50705075,0.58598566,0.26689458,0.46759588,0.25466001,0.36987758,0.64722270,0.80766690,0.55875176,0.92586470,0.74909717,0.94568586,0.44742143,0.92961156,0.00000000,0.78332812,0.42302018,0.38288903,0.36358643,,0.26974988,,0.65266109,0.92168003,0.43309844,0.51531065,0.57164317,0.44953549,0.26514089,0.19246089,0.38038170,,0.75386405,0.65738672,0.29248840,0.91505599,0.31357741,0.44351745,0.28959739,0.74822605,0.65473700,0.45060158,0.97923613,0.35894310,0.23105550,0.37391180,0.81000632
32,0.88058460,0.87165356,,0.80212915,,0.97404611,0.24513495,,0.84818953,,0.72103983,0.66704750,0.70326328,,0.88027400,0.76755440,0.48775166,0.76975089,0.59471869,0.74403226,0.77101398,0.67200953,0.61088985,0.67859030,0.96673620,0.90642905,0.90246296,0.20450866,0.28607219,0.68293893,0.78573018,0.78332812,0.00000000,0.78594846,0.78769231,0.46079773,,0.36779463,,0.86637318,0.81505489,0.64569604,0.64493197,0.70208138,0.73445797,0.86422181,0.67519397,0.66499138,,0.72769332,0.93955410,0.67076069,0.26966262,0.66055012,0.71330929,0.60599911,0.68992323,0.61671239,0.80433774,0.98018408,0.67720747,0.61834544,0.68989193,0.83143127
33,0.77693570,0.44585419,,0.66573948,,0.87990683,0.86602622,,0.74795580,,0.41286355,0.49461508,0.59688580,,0.97149366,0.83566004,0.45783013,0.35524869,0.42312747,0.32444811,0.41707295,0.21737099,0.30746096,0.53912973,0.81919765,0.63490272,0.97224551,0.74257791,0.80877209,0.51860809,0.91417265,0.42302018,0.78594846,0.00000000,0.25089151,0.54240447,,0.37058973,,0.62156391,0.85944009,0.44741023,0.41068506,0.57465887,0.42257482,0.33853179,0.23934406,0.36755192,,0.57107699,0.74881959,0.29363054,0.79151946,0.34194922,0.64787579,0.29714060,0.72136778,0.60612392,0.59384835,0.87138140,0.30113673,0.23315835,0.58278668,0.65963411
34,0.76250374,0.43974555,,0.69753850,,0.90702605,0.91148120,,0.72222555,,0.42647338,0.43322891,0.63921493,,0.96605957,0.75113505,0.31126249,0.14903259,0.30072266,0.27690423,0.43105841,0.20329446,0.29978430,0.46843189,0.85906792,0.64858401,0.94449139,0.69698334,0.87546271,0.57566708,0.91272312,0.38288903,0.78769231,0.25089151,0.00000000,0.55691707,,0.27754223,,0.59782839,0.92253011,0.41841167,0.40910566,0.57456034,0.40285790,0.26376998,0.21599984,0.35644639,,0.52472234,0.74437916,0.24137139,0.86493421,0.28864133,0.68563873,0.28025138,0.74795187,0.62895489,0.65269375,0.88759649,0.30050153,0.21457648,0.63239294,0.74905884
35,0.73186553,0.51984036,,0.32433659,,0.98223031,0.61078435,,0.65890849,,0.36731112,0.32653773,0.18542641,,0.85783350,0.61805528,0.17449474,0.77022445,0.75096714,0.31102192,0.42033648,0.17754662,0.22535455,0.43664646,0.91768515,0.59121847,0.97003174,0.67866957,0.72412145,0.23487508,0.73500127,0.36358643,0.46079773,0.54240447,0.55691707,0.00000000,,0.13538772,,0.55830926,0.96908182,0.33779222,0.33761692,0.43655205,0.32636821,0.27515173,0.20822787,0.28305805,,0.50564843,0.82569432,0.23782349,0.78867590,0.25528932,0.25712937,0.23620802,0.71036655,0.43469834,0.26174265,0.92327017,0.29328918,0.15613890,0.19308984,0.72591507
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,0.67570233,0.42042506,,0.34673595,,0.93545270,0.58230704,,0.65299553,,0.28581935,0.23559165,0.25089771,,0.94628525,0.57271063,0.03950828,0.40409774,0.38279653,0.25571167,0.24181575,0.05792224,0.16440773,0.36423522,0.87360013,0.44125658,0.92652392,0.42703122,0.77602720,0.18758333,0.67545301,0.26974988,0.36779463,0.37058973,0.27754223,0.13538772,,0.00000000,,0.47773933,0.96026450,0.29522043,0.19130325,0.25446737,0.21740448,0.11638439,0.09994376,0.17341834,,0.40172851,0.73255324,0.10542107,0.83810371,0.11713767,0.32355720,0.11892498,0.62769115,0.31934869,0.28038490,0.97333461,0.17638338,0.03145087,0.22616506,0.55071700
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.89055347,0.52055401,,0.60201502,,0.93671083,0.91867220,,0.72257513,,0.39927417,0.44178152,0.53073329,,0.96948516,0.60218424,0.51914531,0.77495968,0.66803718,0.58601421,0.57886779,0.44089150,0.57260776,0.57518119,0.88656163,0.69380963,0.93660921,0.78575027,0.94623250,0.58675808,0.61982739,0.65266109,0.86637318,0.62156391,0.59782839,0.55830926,,0.47773933,,0.00000000,0.85592568,0.67663538,0.45744252,0.60441458,0.57087111,0.48615336,0.51083016,0.46562821,,0.41166544,0.89722127,0.40287793,0.92680824,0.44866538,0.61972177,0.52989376,0.90953320,0.67952317,0.53516674,0.97698641,0.48061132,0.49029201,0.56379187,0.70215362
40,0.95886672,0.92460114,,0.96753061,,0.83968252,0.78171605,,0.84240437,,0.93197495,0.91900808,0.95946407,,0.97187579,0.97093606,0.95521176,0.97477615,0.97371835,0.92705286,0.84234107,0.94699252,0.89409363,0.80614489,0.72147435,0.95972699,0.93526083,0.85129428,0.83449984,0.95913893,0.97275281,0.92168003,0.81505489,0.85944009,0.92253011,0.96908182,,0.96026450,,0.85592568,0.00000000,0.96374029,0.89604485,0.96952105,0.80289108,0.88056165,0.92941314,0.91926372,,0.87895292,0.97026342,0.93711162,0.73082614,0.97296178,0.95904213,0.92209649,0.92804766,0.97771764,0.92708260,0.96392602,0.86918551,0.93970633,0.97911972,0.81639731
