step,beam,channel,subset,bqs,marginal
2,beam1(seed=ch39),21,"[39, 21]",0.6228353745242537,-0.051831
2,beam1(seed=ch39),22,"[39, 22]",0.6545710284390561,-0.020096
2,beam1(seed=ch39),23,"[39, 23]",0.6342196979130562,-0.040447
2,beam1(seed=ch39),24,"[39, 24]",0.6565011445040448,-0.018166
2,beam1(seed=ch39),25,"[39, 25]",0.5969601689356486,-0.077706
2,beam1(seed=ch39),26,"[39, 26]",0.5973551661937486,-0.077312
2,beam1(seed=ch39),27,"[39, 27]",0.5981835765190597,-0.076483
2,beam1(seed=ch39),28,"[39, 28]",0.5093421834165502,-0.165324
2,beam1(seed=ch39),29,"[39, 29]",0.650269829101773,-0.024397
2,beam1(seed=ch39),30,"[39, 30]",0.6058982781947578,-0.068768
2,beam1(seed=ch39),31,"[39, 31]",0.623401314602297,-0.051265
2,beam1(seed=ch39),32,"[39, 32]",0.6547674575456274,-0.019899
2,beam1(seed=ch39),33,"[39, 33]",0.60587139542221,-0.068795
2,beam1(seed=ch39),34,"[39, 34]",0.6656339294783258,-0.009033
2,beam1(seed=ch39),35,"[39, 35]",0.6121787159436654,-0.062488
2,beam1(seed=ch39),36,"[39, 36]",0.6079011765044818,-0.066765
2,beam1(seed=ch39),37,"[39, 37]",0.6375551102903814,-0.037112
2,beam1(seed=ch39),38,"[39, 38]",0.6222751555878133,-0.052392
2,beam1(seed=ch39),40,"[39, 40]",0.6622224028684915,-0.012444
2,beam1(seed=ch39),41,"[39, 41]",0.624154628593821,-0.050512
2,beam1(seed=ch39),42,"[39, 42]",0.6000297184664773,-0.074637
2,beam1(seed=ch39),43,"[39, 43]",0.6738452653293353,-0.000821
2,beam1(seed=ch39),44,"[39, 44]",0.6465916662076959,-0.028075
2,beam1(seed=ch39),45,"[39, 45]",0.6173642668015263,-0.057302
2,beam1(seed=ch39),46,"[39, 46]",0.6389512417995473,-0.035715
2,beam1(seed=ch39),47,"[39, 47]",0.4702089333328899,-0.204458
2,beam1(seed=ch39),48,"[39, 48]",0.6134320517592432,-0.061235
2,beam1(seed=ch39),49,"[39, 49]",0.6316099997400633,-0.043057
2,beam1(seed=ch39),50,"[39, 50]",0.6481078843135284,-0.026559
2,beam1(seed=ch39),51,"[39, 51]",0.622686818916332,-0.05198
2,beam1(seed=ch39),52,"[39, 52]",0.569476084157912,-0.105191
2,beam1(seed=ch39),53,"[39, 53]",0.647339316115259,-0.027327
2,beam1(seed=ch39),54,"[39, 54]",0.5642317574632233,-0.110435
2,beam1(seed=ch39),55,"[39, 55]",0.6424875480851069,-0.032179
2,beam1(seed=ch39),56,"[39, 56]",0.6250000521764483,-0.049667
2,beam1(seed=ch39),57,"[39, 57]",0.6170629659812616,-0.057604
