dataset_order,dataset_key,dataset_family,dataset_condition,standard_label,source_label,source,kind,variant,fine_rank,coarse_rank,configuration,status,reason,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,translation_rpe_max_cm,rotation_rpe_max_deg,coverage_ratio,elapsed_seconds,dataset_rank
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine01_coarse01,resnet_c2f_b_fine01_coarse01,Step-R:new,c2f,B,1,1,"C2F-B; fine conv1[d15,d20,d26,d34]; coarse layer2[d41,d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,18.9691,20.8515,2.0004999999999997,21.903433092931376,20.60755425025747,34.27409014478717,8.47987382721496,0.9965095986038395,49.87807926800451,46
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine01_coarse02,resnet_c2f_b_fine01_coarse02,Step-R:new,c2f,B,1,2,"C2F-B; fine conv1[d15,d20,d26,d34]; coarse layer2[d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,11.3968,12.6729,1.1280000000000001,15.089473096770668,14.36442858795814,10.248845362606387,9.408451327106677,0.9965095986038395,49.70762708300026,25
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine01_coarse03,resnet_c2f_b_fine01_coarse03,Step-R:new,c2f,B,1,3,"C2F-B; fine conv1[d15,d20,d26,d34]; coarse layer2[d41,d60,d67,d95,d108,d121]",PASS,Completed the full matched RGB-D sequence,12.587599999999998,14.0044,1.2154,16.215606862371903,15.474244063792966,12.955085821501655,10.305446037400081,0.9965095986038395,49.82884623800055,30
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine01_coarse04,resnet_c2f_b_f1_c4_negative_high_parent,Step-Q:resnet_c2f_b_f1_c4_negative_high_parent,c2f,B,1,4,"C2F-B; fine conv1[d15,d20,d26,d34]; coarse layer2[d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,19.4376,21.3659,2.0792,22.332675678136788,20.984616140798067,36.137646080528384,9.077272659193202,0.9965095986038395,50.55765456199879,53
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine01_coarse05,resnet_c2f_b_fine01_coarse05,Step-R:new,c2f,B,1,5,"C2F-B; fine conv1[d15,d20,d26,d34]; coarse layer2[d108,d121]",PASS,Completed the full matched RGB-D sequence,6.1240000000000006,7.3751,1.0743,11.53569551270077,10.888835932811698,8.72495113567298,5.4065061325929245,0.9965095986038395,49.65014228400105,2
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine02_coarse01,resnet_c2f_b_fine02_coarse01,Step-R:new,c2f,B,2,1,"C2F-B; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d41,d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,15.146899999999999,17.0156,1.9357,18.913416320329773,17.952945313844758,31.8266860038825,7.681195061888122,0.9965095986038395,49.70284995399561,38
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine02_coarse02,resnet_c2f_b_fine02_coarse02,Step-R:new,c2f,B,2,2,"C2F-B; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,10.6145,11.6777,1.1774,14.47911546667422,13.785621155089684,10.383973692945597,9.721508098644426,0.9965095986038395,49.69496278499719,20
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine02_coarse03,resnet_c2f_b_fine02_coarse03,Step-R:new,c2f,B,2,3,"C2F-B; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d41,d60,d67,d95,d108,d121]",PASS,Completed the full matched RGB-D sequence,11.3338,12.4796,1.2843,15.21940346357668,14.611336312646584,12.632337723134793,10.357063575992115,0.9965095986038395,49.69691453399719,24
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine02_coarse04,resnet_c2f_b_f2_c4_global_best,Step-Q:resnet_c2f_b_f2_c4_global_best,c2f,B,2,4,"C2F-B; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,15.7758,17.7392,2.0179,19.438755603779335,18.403731352007853,33.78126293262256,8.370345892549649,0.9965095986038395,50.546855901018716,40
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine02_coarse05,resnet_c2f_b_fine02_coarse05,Step-R:new,c2f,B,2,5,"C2F-B; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d108,d121]",PASS,Completed the full matched RGB-D sequence,13.669,15.4271,1.8318,17.673980878289967,16.838033742106497,29.286012158500256,6.843471694358295,0.9965095986038395,49.51537197399739,34
