channel,condition,local_quadratic_bowl_score,r2,min_eigval,symmetry_score,basin_width,local_convergence_sr,local_sharpness,condition_number,coeff_xx,coeff_yy
56,bright50,0.240775,0.954525,0.001252,0.655043,42.426407,0.893182,0.014662,2.078223,0.001297,0.000641
57,clean,0.311480,0.715353,0.001614,0.974974,4.123106,1.000000,0.043584,3.664804,0.000948,0.004130
57,bright30,0.196901,0.802976,0.000887,0.798056,8.246211,0.990909,0.026805,3.635575,0.000501,0.002999
57,bright50,0.104803,0.901505,0.000433,0.653130,42.426407,0.931818,0.015707,3.550992,0.000235,0.002203
58,clean,0.448182,0.797224,0.002988,0.938498,5.385165,1.000000,0.048208,1.270010,0.001522,0.002123
58,bright30,0.192951,0.461242,0.001645,0.926991,3.162278,0.840909,0.142159,3.207331,0.000886,0.004215
58,bright50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
59,clean,0.029932,0.187007,0.000387,0.988186,2.000000,0.543182,0.216582,5.393216,0.001762,0.000232
59,bright30,0.024732,0.167918,0.000351,0.986947,2.000000,0.531818,0.216658,5.315130,0.001642,0.000216
59,bright50,0.030692,0.180612,0.000430,0.960299,2.000000,0.570455,0.213502,5.444731,0.001555,0.000232
60,clean,0.281822,0.674592,0.001601,0.939732,5.000000,0.970455,0.068320,3.733784,0.000800,0.001918
60,bright30,0.271945,0.689751,0.001600,0.887177,5.830952,0.977273,0.068751,3.753510,0.000800,0.001929
60,bright50,0.233549,0.733872,0.001228,0.836603,14.035669,0.965909,0.061973,3.927186,0.000614,0.001775
61,clean,0.498995,0.943422,0.002265,0.995937,11.180340,1.000000,0.009803,1.233098,0.001311,0.001872
61,bright30,0.382996,0.955884,0.002243,0.757956,42.426407,1.000000,0.010748,1.223552,0.001314,0.001851
61,bright50,0.249912,0.969218,0.001392,0.628299,0.000000,0.884091,0.008891,1.141015,0.000920,0.000993
62,clean,0.487439,0.886858,0.002972,0.919479,7.810250,1.000000,0.023872,1.257279,0.001598,0.001780
62,bright30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
62,bright50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
63,clean,0.156126,0.365485,0.001600,0.961101,2.828427,0.759091,0.158576,3.488336,0.000919,0.001838
63,bright30,0.145592,0.324249,0.001744,0.963822,2.828427,0.747727,0.191663,3.693897,0.001079,0.002015
63,bright50,0.136162,0.354079,0.001451,0.914690,3.605551,0.750000,0.163124,3.998636,0.000910,0.001780
