stage,label,replicate,candidate_key,channels_json,source_label,role,metadata_json,created_at
direct_greedy,g_pair_seed_sweep_d00_d49,0,"0,49","[0, 49]",g_pair_seed_sweep_d00_d49,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.304592+00:00
direct_greedy,g_pair_seed_sweep_d00_d50,0,"0,50","[0, 50]",g_pair_seed_sweep_d00_d50,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.310958+00:00
direct_greedy,g_pair_seed_sweep_d00_d51,0,"0,51","[0, 51]",g_pair_seed_sweep_d00_d51,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.317255+00:00
direct_greedy,g_pair_seed_sweep_d00_d52,0,"0,52","[0, 52]",g_pair_seed_sweep_d00_d52,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.323661+00:00
direct_greedy,g_pair_seed_sweep_d00_d53,0,"0,53","[0, 53]",g_pair_seed_sweep_d00_d53,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.329959+00:00
direct_greedy,g_pair_seed_sweep_d00_d54,0,"0,54","[0, 54]",g_pair_seed_sweep_d00_d54,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.336377+00:00
direct_greedy,g_pair_seed_sweep_d00_d55,0,"0,55","[0, 55]",g_pair_seed_sweep_d00_d55,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.342730+00:00
direct_greedy,g_pair_seed_sweep_d00_d56,0,"0,56","[0, 56]",g_pair_seed_sweep_d00_d56,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.349324+00:00
direct_greedy,g_pair_seed_sweep_d00_d57,0,"0,57","[0, 57]",g_pair_seed_sweep_d00_d57,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.355808+00:00
direct_greedy,g_pair_seed_sweep_d00_d58,0,"0,58","[0, 58]",g_pair_seed_sweep_d00_d58,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.362323+00:00
